Pid,Name,Price,PromoStart,PromoEnd,Description
1a0d1821-7a3c-44cc-872b-552841728e7e,Cheese - Montery Jack,$0.63,6/21/2023,9/10/2022,Fluoroscopy of Cervico-Cerebral Arch using H Osm Contrast
fd0bd17d-433f-4b5c-ae9a-58215786bcef,Carbonated Water - Orange,$2.03,4/4/2023,8/10/2023,"Supplement Right Maxilla with Nonaut Sub, Open Approach"
e10c1956-f4ba-41ae-8851-594da016fd07,Flavouring - Orange,$8.82,5/16/2023,10/20/2022,"Revise of Nonaut Sub in L Acromioclav Jt, Perc Endo Approach"
0f8c3785-d07a-4326-93a4-c2c020a8ef1d,Spice - Peppercorn Melange,$0.12,6/8/2023,4/12/2023,Computerized Tomography (CT Scan) of Sella Tur/Pituitary
a18fedf1-a91c-4c28-b4b5-ba4b984cc999,Lid - 3oz Med Rec,$1.02,1/11/2023,1/10/2023,"Supplement Left Upper Eyelid with Synth Sub, Extern Approach"
3f1b4a01-db3e-4120-8f6f-3cac3ec4bdc7,"Pasta - Lasagna Noodle, Frozen",$9.18,7/29/2023,9/26/2022,"Insert Infusion Dev in L Hypogast Vein, Perc Endo"
6dd7e083-870e-45b2-9ca2-f870733ccf42,Salmon Atl.whole 8 - 10 Lb,$6.19,3/15/2023,7/11/2023,"Drainage of Lumbar Sympathetic Nerve, Perc Approach, Diagn"
8f4a97cb-859c-45e6-b75e-964d0aa02219,Venison - Racks Frenched,$9.55,10/15/2022,11/23/2022,"Supplement R Sternoclav Jt w Autol Sub, Perc Endo"
0eccdf2a-4562-4e27-bf6b-52d2b5be8191,Sugar - Fine,$1.17,9/21/2022,4/18/2023,"Bypass L Pulm Art from Carotid with Autol Art, Open Approach"
149a0b02-520d-40ba-95fc-f4e78a19cc5a,"Pineapple - Canned, Rings",$2.70,1/27/2023,8/4/2023,"Occlusion of Intracran Art with Intralum Dev, Open Approach"
250b0207-cf71-4f45-8daa-9fb1787b6c58,Lettuce - California Mix,$2.81,11/3/2022,8/25/2023,"Transfer Trigeminal Nerve to Olfact Nrv, Perc Endo Approach"
f06d8e1f-8ca5-49db-b0f2-13b5760435e8,Lid Tray - 16in Dome,$6.39,9/2/2022,1/10/2023,"Supplement R Low Lobe Bronc with Autol Sub, Open Approach"
61aab677-67c1-4c8d-b357-f16218863690,Chocolate - Sugar Free Semi Choc,$9.64,11/6/2022,12/15/2022,"Bypass Left Popliteal Artery to Foot Art, Perc Endo Approach"
6a32ae16-7e98-4420-b7ff-2e83d5d91d62,Piping Jelly - All Colours,$1.67,2/23/2023,4/26/2023,"Dilation of Cecum, Percutaneous Endoscopic Approach"
b09cc3e9-b267-4b05-a227-850b89877560,"Apple - Delicious, Red",$3.98,3/5/2023,3/26/2023,"Drainage of Anus, Via Natural or Artificial Opening, Diagn"
4c95c8dd-15ba-4839-b92d-92c3f65671ae,Amaretto,$9.92,3/15/2023,12/23/2022,"Excision of Sacral Sympathetic Nerve, Perc Approach, Diagn"
c612f7cb-9015-4d25-9844-5390914b1587,Fenngreek Seed,$8.16,8/29/2022,8/20/2023,"Replacement of R Ext Ear with Synth Sub, Extern Approach"
5872385b-8df8-4129-b051-b926989f54e0,Tequila Rose Cream Liquor,$3.93,1/16/2023,12/22/2022,"Restriction of Duodenum with Extralum Dev, Perc Approach"
a4af0f67-7af5-4813-8072-45ef03967922,Halibut - Fletches,$2.17,11/12/2022,7/4/2023,Magnetic Resonance Imaging (MRI) of Thoracic Disc(s)
fb517696-b2ac-46e6-851c-413ff315e1e0,Miso Paste White,$6.13,6/2/2023,2/17/2023,"Dilate Sup Mesent Art w Intralum Dev, Perc Endo"
f62ecb75-55e7-47cc-b345-38191d3b3505,Oil - Canola,$8.55,11/6/2022,5/25/2023,"Repair Left Upper Extremity, Perc Endo Approach"
1e875fe5-02b0-4663-bbac-c95084d52bb2,Ecolab - Mikroklene 4/4 L,$7.45,9/2/2022,9/29/2022,"Excision of Right Foot, Open Approach, Diagnostic"
f8cce09f-894d-47ac-88f8-eeecbdb2ec42,Creme De Cacao White,$5.79,12/1/2022,1/2/2023,Plain Radiography of Left Heart using Low Osmolar Contrast
aa1d6848-9f13-4613-b908-3ba92a9f04a9,"Potatoes - Yukon Gold, 80 Ct",$4.65,7/21/2023,11/14/2022,"Destruction of Left Renal Vein, Percutaneous Approach"
3dcf20b0-8142-4c87-aacf-bbc1486d5c5c,Remy Red Berry Infusion,$7.83,5/10/2023,4/18/2023,"Removal of Ext Fix from R Humeral Shaft, Perc Endo Approach"
0c4e0c2d-5014-4e42-83a8-680618eedc4b,Flower - Leather Leaf Fern,$3.39,3/12/2023,2/1/2023,"Extraction of Left Tympanic Membrane, Endo"
ae60e151-f0af-4754-a800-85b8327c9fc0,Curry Paste - Madras,$6.26,4/20/2023,2/15/2023,Exercise Treatment of Circ Up Back/UE using Oth Equip
cb61d2ae-456b-4f4e-a737-fcb68954fe59,Plastic Arrow Stir Stick,$2.58,2/17/2023,8/12/2023,"Revision of Nonautologous Tissue Substitute in Urethra, Endo"
4c44eaeb-c555-4a15-8188-98e708b05a1a,The Pop Shoppe - Root Beer,$9.72,11/7/2022,9/23/2022,Plain Radiography of L Hand/Finger Jt using Oth Contrast
65d00f1b-3274-4e47-bc81-102ab90dceba,V8 Pet,$0.66,7/17/2023,4/16/2023,"Extraction of Ova, Percutaneous"
ba2717df-2cc1-4cd1-a218-7d373bafac27,Pasta - Canelloni,$1.14,2/23/2023,2/1/2023,"Transfer Facial Muscle, Open Approach"
66d8abd4-0d78-4227-87d0-805bdc1a416d,Muffin Hinge 117n,$2.57,12/12/2022,9/2/2022,"Transplant of Fem Reprod Sys into POC, Perc Endo Approach"
ab4dc118-010d-4169-97cc-c280fd7dc567,Cake - Pancake,$6.03,2/28/2023,12/29/2022,"Drainage of Pharynx with Drainage Device, Perc Endo Approach"
4a363c6a-8c4d-4879-ab9b-d931523f5a1d,Fork - Plastic,$7.40,6/5/2023,9/6/2022,"Revision of Int Fix in L Temporomandib Jt, Extern Approach"
3ca5910d-2690-4470-bd74-83f052ed8b3b,Bagel - Sesame Seed Presliced,$8.76,11/22/2022,5/4/2023,"Drainage of Right Carpal, Open Approach, Diagnostic"
d14dbb18-2492-449d-bcea-bc607b9a6186,Ham - Cooked,$3.52,11/30/2022,11/5/2022,"Bypass Abd Aorta to Low Ex Art with Synth Sub, Open Approach"
e555da09-6a10-491f-aba8-cb35eee1a71d,Vegetable - Base,$5.62,8/20/2023,6/16/2023,"Extraction of Left Hand Skin, External Approach"
76b15fde-628d-4869-90c7-f6f7f61cfa12,Salmon - Fillets,$9.38,11/21/2022,2/10/2023,"Drainage of Hymen, Percutaneous Endoscopic Approach, Diagn"
30a76fd4-aded-493d-a291-db343499e770,Wine - Crozes Hermitage E.,$3.91,9/20/2022,10/25/2022,"Repair Right Lower Leg, External Approach"
9904603d-6f2f-41d0-8cbe-75e166d2a6bf,Fork - Plastic,$7.48,7/4/2023,8/18/2023,"Drainage of Left Testis, Open Approach"
0b294d80-a9a7-41f6-9ad0-622e87f31364,Saskatoon Berries - Frozen,$1.16,6/27/2023,12/4/2022,"Replace R Finger Phalanx Jt w Nonaut Sub, Open"
1d365d4f-e1e4-4e90-b721-835a676bc76d,Wine - Sake,$1.41,4/6/2023,4/23/2023,"Eye, Revision"
64cc4251-fb8c-475f-84f6-c52374386226,"Nut - Walnut, Chopped",$6.01,4/23/2023,5/5/2023,"Removal of Int Fix from R Carpal Jt, Perc Approach"
083ab9b5-4c18-4a4e-a2c4-f403a9af8c58,Olives - Kalamata,$0.43,7/15/2023,1/21/2023,HDR Brachytherapy of Esophagus using Iodine 125
79f6f50a-368b-4979-9011-26086af736ab,Tea - Herbal Sweet Dreams,$3.23,7/11/2023,6/27/2023,"Restriction of Left Hepatic Duct, Via Opening"
16eb31b7-81a1-4c49-9390-14c5a3773d73,Beer - Rickards Red,$7.92,9/30/2022,12/25/2022,"Drain L Low Arm Subcu/Fascia w Drain Dev, Open"
19116008-6ea1-4005-a13b-69d18eb82cf4,Cheese - Marble,$4.24,12/9/2022,5/18/2023,"Removal of Drain Dev from Peritoneum, Perc Endo Approach"
f34ab7f2-a390-4133-9ea9-6b69d7574d09,Lettuce - Belgian Endive,$2.68,7/27/2023,4/27/2023,"Repair Left External Iliac Artery, Percutaneous Approach"
dc7a0e57-a98e-4d33-8efc-29e6393cec46,Coffee Cup 8oz 5338cd,$1.17,8/3/2023,8/22/2023,"Reposition Duodenum, Endo"
293ca2c2-9293-4e83-a21c-30c96a97753b,Fireball Whisky,$2.39,5/2/2023,10/5/2022,"Insertion of Facet Stabl Dev into Occip Jt, Perc Approach"
93138fa3-f72a-4cea-8b7f-9c470b0d5049,"Doilies - 10, Paper",$5.86,1/18/2023,11/6/2022,"CT Scan of L Renal Vein using Oth Contrast, Unenh, Enhance"
efe069cd-5acb-4424-a20f-c64f682b1674,Sobe - Cranberry Grapefruit,$7.39,11/10/2022,3/31/2023,"Revision of Infusion Device in Kidney, Open Approach"
01767471-ca32-44e9-90ed-f349ccfdde1a,Muffin Orange Individual,$7.85,7/15/2023,7/8/2023,"Release Splenic Vein, Percutaneous Approach"
73609f34-26cb-4bf8-aa46-587ffade6881,Cheese - Cream Cheese,$0.35,4/30/2023,1/12/2023,"Dilation of L Ulnar Art with Drug-elut Intra, Open Approach"
86190884-1651-44b8-bb88-df8a9b309060,Ezy Change Mophandle,$6.57,1/14/2023,6/27/2023,"Supplement Cul-de-sac with Nonaut Sub, Endo"
e52b755e-0526-4e86-8686-4ab1e99b1af8,Cherries - Fresh,$6.22,1/12/2023,4/23/2023,"Occlusion of R Renal Art with Extralum Dev, Open Approach"
e5f9538c-d657-4ee2-9768-7e61b70ad13b,Wine - Chablis J Moreau Et Fils,$2.97,10/21/2022,12/27/2022,"Release Soft Palate, External Approach"
149c8ad1-414b-41e1-b544-4ffd35389975,Oil - Sesame,$5.19,12/28/2022,8/18/2023,"Revision of Drainage Device in L Carpal Jt, Perc Approach"
44bb8ec8-184b-4db9-bdb2-a5cb18bef233,Bag - Regular Kraft 20 Lb,$0.00,11/18/2022,3/9/2023,"Supplement Spinal Meninges with Nonaut Sub, Perc Approach"
7e66957f-69e0-4085-a147-5739ebd3ac52,Plastic Wrap,$2.19,10/16/2022,8/10/2023,"Reposition Right Tympanic Membrane, Endo"
f304031b-1ee1-4068-be71-05b87608965f,"Asparagus - Green, Fresh",$5.40,1/30/2023,11/30/2022,"Replace of Hepatic Art with Nonaut Sub, Perc Endo Approach"
004a420b-c3f8-4e18-8259-0afe3f4cee1f,Cheese - Le Cru Du Clocher,$2.96,6/2/2023,3/23/2023,"Occlusion L Up Lobe Bronc w Intralum Dev, Perc Endo"
1720c898-a1ae-4d1b-abb5-933943290df1,Wine - Black Tower Qr,$1.41,8/27/2022,5/16/2023,"Repair Left Finger Phalangeal Joint, External Approach"
08b907cb-c78c-4e6e-a307-8dcd5e4b7821,Coriander - Seed,$4.59,9/22/2022,7/9/2023,"Division of Right Scapula, Open Approach"
af5ff9ee-fe77-4ea6-a06e-b39d7ddbfb1b,Bread - Rosemary Focaccia,$4.36,6/9/2023,8/12/2023,"Extirpation of Matter from Left Foot Muscle, Perc Approach"
f5141014-a633-4ce5-95b5-18be6ea379b9,Tea - Camomele,$7.60,2/18/2023,3/10/2023,"Bypass Jejunum to Cutan with Synth Sub, Perc Endo Approach"
4f8ef285-98c4-4d45-8351-2ee61d3732be,"Shrimp - 16/20, Iqf, Shell On",$9.50,2/6/2023,10/4/2022,"Reattachment of Right Hip Muscle, Open Approach"
df29a9f9-f24c-425f-9ebb-ea515e04ad8e,Bacardi Breezer - Tropical,$3.92,2/8/2023,2/11/2023,"Supplement L Up Extrem with Autol Sub, Open Approach"
e2539b47-e299-4514-9e1e-2e40ca15f798,Cup - 4oz Translucent,$2.44,10/22/2022,9/16/2022,"Change Drainage Device in Retroperitoneum, External Approach"
33cdd7b2-68fe-40dd-b0a0-2856be97675b,Ice Cream - Life Savers,$6.87,3/23/2023,1/23/2023,"Removal of Synthetic Substitute from L Tibia, Open Approach"
fd9936d9-0e53-42c4-b50c-5ccb9b4fc6ca,Parsley - Fresh,$0.27,2/17/2023,1/17/2023,LDR Brachytherapy of Spleen using Palladium 103
78f1eded-836c-4453-8d29-fc88c5d8e780,Wine - George Duboeuf Rose,$6.32,9/24/2022,5/23/2023,"Excision of Cervical Vertebral Disc, Percutaneous Approach"
f8f3668c-d71f-4cfc-816d-e50be012caef,Burger Veggie,$5.10,7/29/2023,8/7/2023,"Insert Singl Array Rchg Stim Gen in Back Subcu/Fascia, Perc"
abe0ffe5-0e45-4fa3-8e4f-71f9a48c3205,Appetizer - Chicken Satay,$9.69,2/14/2023,2/19/2023,"Fluoroscopy of Other Veins using H Osm Contrast, Guidance"
1cc45d32-8651-4cf8-9e9d-4d150d03758b,Crab - Meat,$9.20,7/31/2023,4/7/2023,"Replace of L Hand Vein with Autol Sub, Perc Endo Approach"
d2cd0f36-80f5-49a9-9bbf-ee370dc6e19e,Lettuce - Belgian Endive,$4.29,12/14/2022,7/13/2023,"Drain Tongue/Palate/Phar Muscle w Drain Dev, Open"
4513a600-bbad-4d50-9242-32fcd0f7d73d,Bread - Sour Batard,$1.11,8/9/2023,8/29/2022,"Excision of Right Temporal Bone, Percutaneous Approach"
3b575793-0d26-4e53-9f6f-230a957d2e69,Cake - Miini Cheesecake Cherry,$0.06,6/13/2023,12/18/2022,Fluoroscopy of Right Renal Vein using Low Osmolar Contrast
6b1f2cb2-2f63-4bc5-bf39-2e4fd4ed49d4,V8 Splash Strawberry Banana,$9.53,1/27/2023,11/25/2022,"Resection of Right External Ear, Open Approach"
7d1e1ebe-8230-4831-85b8-e9811446feb9,Soup Campbells Mexicali Tortilla,$3.13,8/27/2022,9/10/2022,"Excision of Head and Neck Sympathetic Nerve, Open Approach"
0b9f90fa-4e0d-4c54-9a15-8ca2229faba4,Mace,$2.51,3/8/2023,7/28/2023,"CT Scan Sup Vena Cava w H Osm Contrast, Unenh, Enhance"
12946e66-184c-491a-a760-4c0283558ec4,Mousse - Passion Fruit,$7.01,11/29/2022,7/16/2023,"Revision of Drainage Device in R Up Extrem, Perc Approach"
076bc1fc-05b5-489b-9e2b-dff7cdc9f48b,Long Island Ice Tea,$2.03,5/10/2023,7/16/2023,HDR Brachytherapy of Cervix using Iodine 125
1f2109be-7986-4d9f-8ef5-27be61a73819,"Mustard - Dry, Powder",$7.67,1/22/2023,3/7/2023,"Fluoroscopy R Low Extrem Vein w Oth Contrast, Guidance"
0786a635-a6c7-43ad-97e5-389812ee410c,Ice Cream - Strawberry,$7.85,11/9/2022,12/6/2022,"Restrict Low Esophag w Intralum Dev, Perc Endo"
18d657bd-591a-4e00-b9bf-33fdb7ab673f,Bread - English Muffin,$6.27,11/20/2022,3/18/2023,"Repair Right Palatine Bone, Open Approach"
24992d74-f1c5-495c-9702-1149d9165a74,Sauce - Plum,$7.20,7/23/2023,7/13/2023,"Drainage of Right Lacrimal Duct, Open Approach, Diagnostic"
78cf1fb8-d7fb-4bb2-83df-b860b700a4d6,Beets - Golden,$5.97,10/18/2022,2/17/2023,"Revision of Autol Sub in L Eye, Via Opening"
1acb0717-7b70-412b-b703-fdf805da0a87,Vegetable - Base,$4.00,12/8/2022,10/10/2022,"Reposition Right Wrist Joint, Percutaneous Approach"
5dc74720-eacc-4c41-bc9c-3360c012afa6,Ham - Black Forest,$3.88,12/12/2022,2/15/2023,"Replacement of Bi Breast using Lat Dorsi Flap, Open Approach"
eb71461d-beb2-4ef4-9963-e74c629a0d1b,Flavouring - Orange,$4.32,1/22/2023,5/6/2023,"Transplantation of Pancreas, Zooplastic, Open Approach"
58b5d163-f5c4-4be7-8322-d318b972dc1e,Table Cloth 54x54 Colour,$4.49,8/22/2023,8/15/2023,"Revision of Implant Heart Assist in Heart, Extern Approach"
71b80a84-4f6a-4381-b542-a854b26d94e5,Coffee - Frthy Coffee Crisp,$7.66,4/13/2023,2/20/2023,"Bypass Abdominal Aorta to Low Ex Art, Open Approach"
dce0f94b-da3e-47f8-b512-26b4a618daf2,Bread - Assorted Rolls,$6.01,10/25/2022,5/30/2023,"Drainage of Splenic Artery, Open Approach, Diagnostic"
fe3808f2-29f3-4a4b-948c-25082b5a4347,Table Cloth 62x120 Colour,$5.63,10/6/2022,11/5/2022,"Bypass Right Vas Deferens to L Epidid, Perc Endo Approach"
8705073d-9d00-4ddb-8df0-9ead49f92683,Wine - Chateauneuf Du Pape,$1.15,11/25/2022,2/3/2023,"Extraction of Tibial Nerve, Open Approach"
e111b24e-d1b1-47c1-9a3d-f35a8b55cdf2,Kiwi Gold Zespri,$8.00,8/17/2023,9/25/2022,"Respiratory System, Change"
1df3b627-3ea3-485f-893d-29b99f9a7167,Bread - Raisin,$8.84,9/21/2022,2/1/2023,"Dilation of R Temporal Art, Bifurc, Perc Endo Approach"
664bcc92-f504-4527-9e96-f53f3ef9f783,Bag - Regular Kraft 20 Lb,$7.76,10/27/2022,10/24/2022,"Drainage of Lumbar Vertebral Joint, Open Approach, Diagn"
392421de-dc89-4e68-94be-e01f1785d22a,"Oil - Truffle, Black",$7.06,9/2/2022,2/17/2023,"Replace of Bladder Neck with Autol Sub, Perc Endo Approach"
